Date	Open	High	Low	Close	Change (Pips)	Change (%)
Aug 25, 2016 00:00	6818.2	6829.1	6780.1	6813.1	-5.1	-0.07%
Aug 24, 2016 00:00	6856.9	6869.4	6813.1	6819.8	-37.1	-0.54%
Aug 23, 2016 00:00	6843.4	6887.9	6838.7	6857.2	+13.8	+0.20%
Aug 22, 2016 00:00	6863.4	6888.9	6814.5	6844.4	-19.0	-0.28%
Aug 19, 2016 00:00	6873.7	6880.8	6843.4	6862.9	-10.8	-0.16%
Aug 18, 2016 00:00	6890.1	6903.4	6852.4	6873.9	-16.2	-0.24%
Aug 17, 2016 00:00	6900.6	6923	6850.9	6898.5	-2.1	-0.03%
Aug 16, 2016 00:00	6933.8	6943.5	6892	6901.6	-32.2	-0.47%
Aug 15, 2016 00:00	6908.9	6958.9	6907.7	6933.9	+25.0	+0.36%
Aug 12, 2016 00:00	6899	6933.9	6897.9	6906.5	+7.5	+0.11%
Aug 11, 2016 00:00	6810.6	6920.5	6809.4	6899.2	+88.6	+1.28%
Aug 10, 2016 00:00	6834.8	6869.2	6819.2	6848.8	+14.0	+0.20%
Aug 09, 2016 00:00	6811.4	6865.5	6807.2	6834.4	+23.0	+0.34%
Aug 08, 2016 00:00	6787.1	6832.1	6783.2	6811.6	+24.5	+0.36%
Aug 05, 2016 00:00	6759	6805.9	6739.4	6790.5	+31.5	+0.46%
Aug 04, 2016 00:00	6633	6762.9	6616.7	6758.7	+125.7	+1.86%
Aug 03, 2016 00:00	6660	6680.4	6622.5	6643.4	-16.6	-0.25%
Aug 02, 2016 00:00	6674.4	6699.5	6634.4	6660.3	-14.1	-0.21%
Aug 01, 2016 00:00	6748.2	6773.6	6669.1	6673.9	-74.3	-1.11%
Jul 29, 2016 00:00	6734.6	6746.6	6694.1	6735.9	+1.3	+0.02%
Jul 28, 2016 00:00	6736	6767.2	6714.6	6735.1	-0.9	-0.01%
Jul 27, 2016 00:00	6741.5	6784.3	6727.8	6738.6	-2.9	-0.04%
